Entry,Name,Position,Pathways
7157,['(RefSeq) tumor protein p53'],17p13.1,"[('hsa01522', 'Endocrine resistance'), ('hsa01524', 'Platinum drug resistance'), ('hsa04010', 'MAPK signaling pathway'), ('hsa04071', 'Sphingolipid signaling pathway'), ('hsa04110', 'Cell cycle'), ('hsa04115', 'p53 signaling pathway'), ('hsa04137', 'Mitophagy - animal'), ('hsa04151', 'PI3K-Akt signaling pathway'), ('hsa04210', 'Apoptosis'), ('hsa04211', 'Longevity regulating pathway'), ('hsa04216', 'Ferroptosis'), ('hsa04218', 'Cellular senescence'), ('hsa04310', 'Wnt signaling pathway'), ('hsa04722', 'Neurotrophin signaling pathway'), ('hsa04919', 'Thyroid hormone signaling pathway'), ('hsa05012', 'Parkinson disease'), ('hsa05014', 'Amyotrophic lateral sclerosis'), ('hsa05016', 'Huntington disease'), ('hsa05131', 'Shigellosis'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05202', 'Transcriptional misregulation in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05205', 'Proteoglycans in cancer'), ('hsa05206', 'MicroRNAs in cancer'), ('hsa05210', 'Colorectal cancer'), ('hsa05212', 'Pancreatic cancer'), ('hsa05213', 'Endometrial cancer'), ('hsa05214', 'Glioma'), ('hsa05215', 'Prostate cancer'), ('hsa05216', 'Thyroid cancer'), ('hsa05217', 'Basal cell carcinoma'), ('hsa05218', 'Melanoma'), ('hsa05219', 'Bladder cancer'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer'), ('hsa05230', 'Central carbon metabolism in cancer'), ('hsa05417', 'Lipid and atherosclerosis'), ('hsa05418', 'Fluid shear stress and atherosclerosis')]"
7337,['(RefSeq) ubiquitin protein ligase E3A'],15q11.2,"[('hsa04120', 'Ubiquitin mediated proteolysis'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05203', 'Viral carcinogenesis')]"
1739,['(RefSeq) discs large MAGUK scaffold protein 1'],3q29,"[('hsa04390', 'Hippo signaling pathway'), ('hsa04530', 'Tight junction'), ('hsa04660', 'T cell receptor signaling pathway'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05203', 'Viral carcinogenesis')]"
23513,['(RefSeq) scribble planar cell polarity protein'],8q24.3,"[('hsa04390', 'Hippo signaling pathway'), ('hsa04530', 'Tight junction'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05203', 'Viral carcinogenesis')]"
5829,['(RefSeq) paxillin'],12q24.23,"[('hsa04062', 'Chemokine signaling pathway'), ('hsa04370', 'VEGF signaling pathway'), ('hsa04510', 'Focal adhesion'), ('hsa04670', 'Leukocyte transendothelial migration'), ('hsa04810', 'Regulation of actin cytoskeleton'), ('hsa05100', 'Bacterial invasion of epithelial cells'), ('hsa05131', 'Shigellosis'), ('hsa05135', 'Yersinia infection'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05205', 'Proteoglycans in cancer')]"
578,['(RefSeq) BCL2 antagonist/killer 1'],6p21.31,"[('hsa01524', 'Platinum drug resistance'), ('hsa04141', 'Protein processing in endoplasmic reticulum'), ('hsa04210', 'Apoptosis'), ('hsa04215', 'Apoptosis - multiple species'), ('hsa05022', 'Pathways of neurodegeneration - multiple diseases'), ('hsa05130', 'Pathogenic Escherichia coli infection'), ('hsa05132', 'Salmonella infection'), ('hsa05160', 'Hepatitis C'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05202', 'Transcriptional misregulation in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05206', 'MicroRNAs in cancer'), ('hsa05210', 'Colorectal cancer'), ('hsa05212', 'Pancreatic cancer'), ('hsa05213', 'Endometrial cancer'), ('hsa05214', 'Glioma'), ('hsa05216', 'Thyroid cancer'), ('hsa05217', 'Basal cell carcinoma'), ('hsa05218', 'Melanoma'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer')]"
3661,['(RefSeq) interferon regulatory factor 3'],19q13.33,"[('hsa04620', 'Toll-like receptor signaling pathway'), ('hsa04621', 'NOD-like receptor signaling pathway'), ('hsa04622', 'RIG-I-like receptor signaling pathway'), ('hsa04623', 'Cytosolic DNA-sensing pathway'), ('hsa04936', 'Alcoholic liver disease'), ('hsa05131', 'Shigellosis'), ('hsa05133', 'Pertussis'), ('hsa05135', 'Yersinia infection'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05162', 'Measles'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05164', 'Influenza A'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05168', 'Herpes simplex virus 1 infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05170', 'Human immunodeficiency virus 1 infection'), ('hsa05171', 'Coronavirus disease - COVID-19'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05417', 'Lipid and atherosclerosis')]"
5925,['(RefSeq) RB transcriptional corepressor 1'],13q14.2,"[('hsa01522', 'Endocrine resistance'), ('hsa04110', 'Cell cycle'), ('hsa04218', 'Cellular senescence'), ('hsa04934', 'Cushing syndrome'), ('hsa05160', 'Hepatitis C'), ('hsa05161', 'Hepatitis B'), ('hsa05163', 'Human cytomegalovirus infection'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05166', 'Human T-cell leukemia virus 1 infection'), ('hsa05167', 'Kaposi sarcoma-associated herpesvirus infection'), ('hsa05169', 'Epstein-Barr virus infection'), ('hsa05200', 'Pathways in cancer'), ('hsa05203', 'Viral carcinogenesis'), ('hsa05207', 'Chemical carcinogenesis - receptor activation'), ('hsa05212', 'Pancreatic cancer'), ('hsa05214', 'Glioma'), ('hsa05215', 'Prostate cancer'), ('hsa05218', 'Melanoma'), ('hsa05219', 'Bladder cancer'), ('hsa05220', 'Chronic myeloid leukemia'), ('hsa05222', 'Small cell lung cancer'), ('hsa05223', 'Non-small cell lung cancer'), ('hsa05224', 'Breast cancer'), ('hsa05225', 'Hepatocellular carcinoma'), ('hsa05226', 'Gastric cancer')]"
5933,['(RefSeq) RB transcriptional corepressor like 1'],20q11.23,"[('hsa04110', 'Cell cycle'), ('hsa04218', 'Cellular senescence'), ('hsa04350', 'TGF-beta signaling pathway'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05203', 'Viral carcinogenesis')]"
5934,['(RefSeq) RB transcriptional corepressor like 2'],16q12.2,"[('hsa04068', 'FoxO signaling pathway'), ('hsa04110', 'Cell cycle'), ('hsa04151', 'PI3K-Akt signaling pathway'), ('hsa04218', 'Cellular senescence'), ('hsa05165', 'Human papillomavirus infection'), ('hsa05203', 'Viral carcinogenesis')]"
